0	[83652, -7.87279899111799, 523452.1316276103]
1	[83161, -3.1571219461766815, 331623.94646994467]
10	[83468, 3.2002302702831638, 440146.6450717594]
11	[83047, 8.976722416788041, 289433.9068151562]
2	[83522, 9.967419444996537, 716054.1860680743]
3	[82993, -0.2859561253479323, 479637.5794778448]
4	[83331, 0.8132527623573644, 476523.47644138854]
5	[83271, 3.5974170904876868, 551408.2175855595]
6	[83846, -14.814937532249724, 404014.9898097962]
7	[83282, -1.6162499055858535, 552487.3391116125]
8	[83183, 3.39165162207424, 522507.3791493676]
9	[83244, -3.394761977499901, 671392.8298795952]
